Cell No in Montage,X in Montage,Y in Montage,Label in FOV,X in FOV,Y in FOV
1,2215.26,1156.26,1,2215.26,1156.26
2,580,4017.09,2,580,4017.09
3,1900.51,3072.89,3,1900.51,3072.89
4,59.88,3342.09,4,59.88,3342.09
5,2126.35,482.25,5,2126.35,482.25
6,1497.75,1478.18,6,1497.75,1478.18
7,4183.45,5145.21,7,4183.45,5145.21
8,1159.36,636.1,8,1159.36,636.1
9,22.91,4610.52,9,22.91,4610.52
10,1172.01,3862.76,10,1172.01,3862.76
11,1499.74,4978.59,11,1499.74,4978.59
12,102.55,2309.83,12,102.55,2309.83
13,1249.14,2558.82,13,1249.14,2558.82
14,1204.94,4980.02,14,1204.94,4980.02
15,1431.42,2994.49,15,1431.42,2994.49
16,3117.23,5111.16,16,3117.23,5111.16
17,4357.32,1600.07,17,4357.32,1600.07
18,1469.26,5421.66,18,1469.26,5421.66
19,1508.9,2732.89,19,1508.9,2732.89
20,1996.28,4991.66,20,1996.28,4991.66
21,1606.01,4558.11,21,1606.01,4558.11
22,1711.67,1270.62,22,1711.67,1270.62
23,3123.51,4790.11,23,3123.51,4790.11
24,4409.88,3737.53,24,4409.88,3737.53
25,2080.39,3402.31,25,2080.39,3402.31
26,4425.84,1452.74,26,4425.84,1452.74
27,2515.68,2387.06,27,2515.68,2387.06
28,745.93,4973.09,28,745.93,4973.09
29,2252.39,3941.55,29,2252.39,3941.55
30,1287.89,2384.83,30,1287.89,2384.83
31,5036.32,3984.1,31,5036.32,3984.1
32,3525.96,4572.41,32,3525.96,4572.41
33,770.04,3780.74,33,770.04,3780.74
34,2218.58,929.35,34,2218.58,929.35
35,291.76,57.25,35,291.76,57.25
36,4705.57,3521.99,36,4705.57,3521.99
37,823.98,504.83,37,823.98,504.83
38,4915.27,3515.64,38,4915.27,3515.64
39,4709.28,1802.05,39,4709.28,1802.05
40,1541.7,4109.32,40,1541.7,4109.32
41,2079.44,2997.7,41,2079.44,2997.7
42,3576,1275.15,42,3576,1275.15
43,5414.64,135.02,43,5414.64,135.02
44,5058.54,5372.49,44,5058.54,5372.49
45,694.21,913.4,45,694.21,913.4
46,3108.18,1764.77,46,3108.18,1764.77
47,2137.45,4253.94,47,2137.45,4253.94
48,3162.74,4413.68,48,3162.74,4413.68
49,1076.89,5149.28,49,1076.89,5149.28
50,5014.44,769.81,50,5014.44,769.81
51,730.14,1750.67,51,730.14,1750.67
52,981.05,3864.73,52,981.05,3864.73
53,530.68,2725.49,53,530.68,2725.49
54,4382.51,5333.95,54,4382.51,5333.95
55,1184.93,5395.28,55,1184.93,5395.28
56,1507.45,1320.49,56,1507.45,1320.49
57,4944.6,4195.27,57,4944.6,4195.27
58,2128.14,1999.38,58,2128.14,1999.38
59,5426.77,565.55,59,5426.77,565.55
60,2356.94,3146.42,60,2356.94,3146.42
61,5166.7,4414.64,61,5166.7,4414.64
62,2492.5,4938.23,62,2492.5,4938.23
63,2318.93,2973.53,63,2318.93,2973.53
64,5175.34,3744.25,64,5175.34,3744.25
65,3319.71,2624.64,65,3319.71,2624.64
66,3174.19,1481.81,66,3174.19,1481.81
67,845.33,1497.41,67,845.33,1497.41
68,3097.47,68.54,68,3097.47,68.54
69,1861.28,1763.94,69,1861.28,1763.94
